               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023803,            0.011054,           0.0033727,             0.95103,             0.95168,             0.98506,             0.76633,            0.018003,            0.005129,           0.0011133,             0.00769,             0.00769,             0.00769
                  37,            0.023907,            0.011172,           0.0031895,             0.98062,              0.9462,             0.98591,             0.77551,             0.01982,           0.0051358,           0.0020713,            0.007624,            0.007624,            0.007624
                  38,            0.023319,            0.010902,             0.00263,             0.95994,             0.95969,             0.98428,             0.76415,             0.01873,           0.0051204,           0.0034423,            0.007558,            0.007558,            0.007558
                  39,              0.0235,            0.010849,           0.0021281,             0.97578,             0.96365,              0.9882,              0.7679,            0.018342,           0.0051724,           0.0024452,            0.007492,            0.007492,            0.007492
                  40,            0.023343,            0.010947,           0.0031223,              0.9741,             0.95973,             0.98621,             0.76282,            0.018957,            0.005288,           0.0031752,            0.007426,            0.007426,            0.007426
                  41,            0.023218,            0.010723,           0.0028399,             0.97765,             0.95239,             0.98647,             0.77445,            0.019179,            0.005176,           0.0017986,             0.00736,             0.00736,             0.00736
                  42,            0.023207,            0.011018,           0.0030103,             0.97975,             0.96273,             0.98365,              0.7679,            0.018632,           0.0050755,           0.0030286,            0.007294,            0.007294,            0.007294
                  43,            0.023033,            0.010717,           0.0026305,             0.96511,             0.96063,             0.98278,             0.75908,            0.018591,           0.0051894,           0.0058935,            0.007228,            0.007228,            0.007228
                  44,            0.023256,            0.010866,           0.0028148,             0.94407,             0.92833,             0.98243,             0.77055,            0.019244,           0.0051229,           0.0022148,            0.007162,            0.007162,            0.007162
                  45,            0.023373,             0.01092,           0.0028207,             0.95814,             0.96524,             0.98804,             0.76543,            0.018687,            0.005218,           0.0050248,            0.007096,            0.007096,            0.007096
                  46,            0.022546,            0.010761,           0.0022948,             0.97867,             0.95947,             0.98578,             0.77872,            0.018866,           0.0051269,            0.004043,             0.00703,             0.00703,             0.00703
                  47,            0.022212,            0.010446,           0.0023414,             0.96269,             0.95943,              0.9835,             0.76984,            0.017603,           0.0050388,           0.0060754,            0.006964,            0.006964,            0.006964
                  48,            0.022661,            0.010713,           0.0024751,              0.9713,             0.96456,             0.98696,             0.77849,            0.018465,           0.0050155,           0.0038062,            0.006898,            0.006898,            0.006898
                  49,            0.021955,            0.010557,           0.0023746,             0.95654,             0.96751,             0.98784,             0.78223,            0.017228,           0.0050035,           0.0020178,            0.006832,            0.006832,            0.006832
                  50,            0.022314,            0.010316,           0.0030289,             0.97419,             0.96937,             0.99054,             0.79011,            0.017929,           0.0047703,           0.0067844,            0.006766,            0.006766,            0.006766
                  51,            0.022196,            0.010741,           0.0025133,             0.95913,             0.96457,             0.98785,             0.77511,            0.018466,           0.0050711,           0.0021352,              0.0067,              0.0067,              0.0067
                  52,            0.022827,            0.010874,           0.0025786,             0.95295,             0.93523,             0.97697,             0.76974,            0.019352,             0.00509,           0.0020842,            0.006634,            0.006634,            0.006634
                  53,            0.021836,            0.010485,           0.0025801,              0.9661,             0.95653,             0.98511,             0.78624,             0.01657,           0.0047606,           0.0051469,            0.006568,            0.006568,            0.006568
                  54,            0.022074,            0.010258,           0.0026234,             0.97226,             0.96231,             0.98839,             0.78423,            0.016536,           0.0049886,           0.0025528,            0.006502,            0.006502,            0.006502
                  55,             0.02174,            0.010359,            0.002698,             0.96885,             0.96353,             0.98644,              0.7969,            0.016998,           0.0049117,           0.0030137,            0.006436,            0.006436,            0.006436
                  56,            0.021131,             0.01018,           0.0020388,             0.96596,             0.96462,              0.9866,             0.79355,            0.018115,           0.0047835,           0.0014409,             0.00637,             0.00637,             0.00637
                  57,            0.022146,            0.010136,           0.0024367,             0.97422,             0.94735,             0.98219,             0.77432,            0.019752,           0.0051435,           0.0043812,            0.006304,            0.006304,            0.006304
                  58,            0.021223,            0.010015,           0.0027488,             0.97331,             0.96012,             0.98479,             0.78612,            0.016825,           0.0049232,           0.0033947,            0.006238,            0.006238,            0.006238
                  59,            0.021345,            0.010271,           0.0021459,             0.97017,             0.96609,             0.98609,             0.79045,            0.017423,            0.004924,           0.0032734,            0.006172,            0.006172,            0.006172
                  60,            0.021386,           0.0098424,           0.0020718,              0.9659,              0.9694,             0.98739,             0.78946,            0.016715,           0.0049556,           0.0026589,            0.006106,            0.006106,            0.006106
                  61,            0.021374,            0.010146,           0.0023134,             0.96185,             0.96944,             0.98961,              0.7982,            0.016847,           0.0046896,           0.0026827,             0.00604,             0.00604,             0.00604
                  62,            0.020884,            0.010186,           0.0023521,             0.97098,             0.96456,             0.98783,             0.79846,            0.017098,           0.0047765,           0.0015258,            0.005974,            0.005974,            0.005974
                  63,            0.020754,            0.010005,           0.0019581,             0.98219,             0.97101,             0.98978,             0.80165,            0.017028,           0.0046375,           0.0015969,            0.005908,            0.005908,            0.005908
                  64,            0.020508,           0.0099693,           0.0020651,             0.97945,              0.9666,             0.99032,             0.80708,              0.0166,           0.0045325,           0.0030285,            0.005842,            0.005842,            0.005842
                  65,            0.020432,           0.0097804,           0.0022759,             0.97962,             0.96571,             0.98736,             0.80298,            0.016944,            0.004655,           0.0028795,            0.005776,            0.005776,            0.005776
                  66,            0.020901,           0.0098407,           0.0019982,             0.98046,             0.97019,             0.98686,             0.79652,            0.017021,           0.0047112,           0.0049279,             0.00571,             0.00571,             0.00571
                  67,            0.020376,           0.0098488,           0.0016759,             0.97746,             0.96672,              0.9874,             0.80349,            0.016528,            0.004737,           0.0022196,            0.005644,            0.005644,            0.005644
                  68,            0.020556,           0.0097095,           0.0020811,             0.97303,             0.96045,             0.98538,             0.79752,            0.016409,           0.0049751,           0.0031613,            0.005578,            0.005578,            0.005578
                  69,            0.020475,             0.01016,           0.0024598,             0.95667,             0.94849,             0.98077,             0.77977,            0.016624,            0.005035,           0.0033857,            0.005512,            0.005512,            0.005512
                  70,            0.020411,           0.0098984,           0.0021486,             0.97959,             0.97374,             0.98688,             0.80354,             0.01632,           0.0047253,           0.0030468,            0.005446,            0.005446,            0.005446
                  71,            0.019964,           0.0097515,           0.0016599,             0.97939,             0.96241,             0.98664,             0.79884,            0.017001,           0.0048589,           0.0038466,             0.00538,             0.00538,             0.00538
                  72,            0.019587,           0.0097606,           0.0021105,             0.97478,             0.96677,             0.98826,             0.80412,             0.01629,           0.0045541,           0.0037092,            0.005314,            0.005314,            0.005314
                  73,            0.019662,           0.0094554,           0.0017175,             0.97967,             0.97267,             0.98962,             0.81152,            0.016367,           0.0044998,           0.0042139,            0.005248,            0.005248,            0.005248
                  74,            0.019414,           0.0095232,           0.0016805,             0.97749,             0.96963,             0.99002,             0.80315,            0.016574,           0.0046556,           0.0034899,            0.005182,            0.005182,            0.005182
                  75,            0.019739,           0.0095287,           0.0021974,             0.97804,             0.96952,             0.98747,             0.79951,            0.016815,           0.0047112,           0.0044055,            0.005116,            0.005116,            0.005116
                  76,            0.019682,           0.0096626,           0.0017902,             0.96925,             0.97547,             0.98924,             0.80368,            0.016969,           0.0045435,           0.0044543,             0.00505,             0.00505,             0.00505
                  77,            0.019843,           0.0091799,           0.0017689,             0.98142,             0.97758,             0.99129,             0.80715,            0.016329,           0.0045937,           0.0016091,            0.004984,            0.004984,            0.004984
                  78,            0.019544,           0.0093282,           0.0021541,             0.97111,             0.97285,             0.98977,             0.80967,            0.016056,           0.0046083,           0.0041219,            0.004918,            0.004918,            0.004918
                  79,            0.018973,           0.0093412,           0.0014923,             0.97648,             0.97464,              0.9919,             0.81927,            0.016562,           0.0045059,           0.0016859,            0.004852,            0.004852,            0.004852
                  80,            0.019454,           0.0092516,           0.0018401,             0.97309,             0.97669,             0.99174,             0.81099,             0.01647,           0.0046544,           0.0048045,            0.004786,            0.004786,            0.004786
                  81,            0.018869,           0.0092718,           0.0021317,             0.98423,             0.96176,             0.98471,             0.80986,            0.016802,           0.0046638,           0.0031867,             0.00472,             0.00472,             0.00472
