               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021414,            0.010109,           0.0021075,              0.9816,             0.97265,             0.98984,             0.80835,            0.016666,           0.0046651,           0.0030864,             0.00769,             0.00769,             0.00769
                  37,            0.020791,           0.0097653,             0.00229,             0.97804,             0.97476,             0.99159,             0.79646,            0.016555,           0.0047266,           0.0033371,            0.007624,            0.007624,            0.007624
                  38,            0.021544,           0.0095168,           0.0022259,             0.97828,             0.97643,             0.98869,             0.80945,            0.017086,           0.0045421,           0.0018898,            0.007558,            0.007558,            0.007558
                  39,            0.020354,             0.00964,           0.0022964,             0.98913,             0.97464,             0.99097,             0.80286,            0.015859,           0.0044601,           0.0029777,            0.007492,            0.007492,            0.007492
                  40,             0.02011,           0.0094477,           0.0020568,             0.98925,             0.97769,             0.99142,             0.81467,            0.016261,           0.0044778,           0.0010665,            0.007426,            0.007426,            0.007426
                  41,            0.020372,           0.0096929,           0.0026628,             0.93053,             0.93607,             0.98097,             0.78341,            0.017694,           0.0050131,           0.0031728,             0.00736,             0.00736,             0.00736
                  42,            0.020572,           0.0096603,           0.0022726,             0.98597,             0.97729,              0.9934,             0.81651,            0.015944,           0.0043684,           0.0026681,            0.007294,            0.007294,            0.007294
                  43,            0.020124,           0.0096058,            0.002297,             0.99197,             0.97649,             0.98862,             0.81704,             0.01876,            0.004594,          0.00077559,            0.007228,            0.007228,            0.007228
                  44,            0.020449,           0.0094137,           0.0022221,             0.98815,             0.98065,              0.9931,             0.82168,            0.016903,            0.004539,           0.0015468,            0.007162,            0.007162,            0.007162
                  45,            0.020017,           0.0094863,           0.0023138,             0.98363,             0.97321,             0.98921,             0.81772,             0.01646,           0.0046495,           0.0022968,            0.007096,            0.007096,            0.007096
                  46,            0.019471,           0.0092092,           0.0019209,             0.98974,             0.98006,             0.99013,             0.82077,            0.016346,           0.0044769,           0.0031618,             0.00703,             0.00703,             0.00703
                  47,             0.01976,           0.0092122,           0.0021584,             0.98494,             0.97426,             0.99035,             0.81719,            0.015765,           0.0045648,           0.0024077,            0.006964,            0.006964,            0.006964
                  48,            0.019742,           0.0092438,           0.0015648,             0.98691,             0.97358,             0.98992,             0.83184,            0.015076,           0.0043449,           0.0035449,            0.006898,            0.006898,            0.006898
                  49,            0.019635,           0.0090808,           0.0016883,             0.97489,             0.96824,             0.98594,              0.8031,             0.01598,           0.0047987,           0.0033885,            0.006832,            0.006832,            0.006832
                  50,            0.019286,           0.0093529,           0.0018435,             0.98322,             0.97921,             0.99296,             0.83016,            0.015659,           0.0043952,           0.0028868,            0.006766,            0.006766,            0.006766
                  51,            0.019821,           0.0093755,           0.0021461,             0.97533,             0.96914,             0.99194,             0.82777,            0.015967,            0.004472,           0.0029932,              0.0067,              0.0067,              0.0067
                  52,            0.019079,           0.0092131,           0.0017582,             0.98139,             0.98055,             0.99095,             0.82136,            0.015117,           0.0044316,           0.0029097,            0.006634,            0.006634,            0.006634
                  53,            0.018933,           0.0091546,           0.0017523,             0.98604,             0.98021,             0.98952,             0.82199,            0.016752,           0.0046221,           0.0036791,            0.006568,            0.006568,            0.006568
                  54,            0.019403,           0.0090222,           0.0018821,             0.96864,             0.96882,             0.98896,             0.82704,            0.016107,           0.0043951,           0.0010623,            0.006502,            0.006502,            0.006502
                  55,            0.018661,           0.0089246,           0.0018547,             0.98267,             0.97611,             0.98953,             0.82899,            0.015421,           0.0043384,           0.0021898,            0.006436,            0.006436,            0.006436
                  56,             0.01842,           0.0087561,           0.0012332,             0.98435,             0.97729,             0.98994,             0.83057,            0.014947,           0.0042984,           0.0037727,             0.00637,             0.00637,             0.00637
                  57,            0.018704,           0.0088337,           0.0021643,              0.9746,             0.97065,             0.98816,             0.80969,            0.016431,           0.0047043,           0.0039853,            0.006304,            0.006304,            0.006304
                  58,            0.018799,           0.0090489,           0.0015048,             0.97636,             0.98344,             0.99215,             0.82386,            0.015764,           0.0044856,           0.0043615,            0.006238,            0.006238,            0.006238
                  59,            0.019102,           0.0089628,           0.0017106,             0.97114,             0.98528,             0.99359,             0.83464,            0.015231,           0.0043659,           0.0039739,            0.006172,            0.006172,            0.006172
                  60,            0.018731,           0.0091646,           0.0024315,             0.97914,             0.97275,             0.98784,             0.82123,            0.016626,           0.0044664,            0.002316,            0.006106,            0.006106,            0.006106
                  61,            0.018432,           0.0088674,           0.0016434,              0.9714,             0.97736,             0.99216,             0.82907,            0.015172,           0.0043696,           0.0020309,             0.00604,             0.00604,             0.00604
                  62,            0.018583,           0.0087582,           0.0016372,             0.98089,             0.98485,             0.99338,             0.83393,            0.016076,           0.0043148,           0.0014672,            0.005974,            0.005974,            0.005974
                  63,            0.018187,           0.0086488,           0.0013008,             0.98912,             0.98121,             0.99331,             0.84157,            0.015069,           0.0042491,           0.0028996,            0.005908,            0.005908,            0.005908
                  64,            0.018266,           0.0086412,            0.001509,             0.97833,             0.98242,             0.99372,             0.83702,            0.014455,           0.0042572,           0.0009969,            0.005842,            0.005842,            0.005842
                  65,            0.017903,           0.0086203,           0.0018111,             0.98472,             0.97814,             0.98938,               0.834,            0.015856,           0.0044174,           0.0027404,            0.005776,            0.005776,            0.005776
                  66,            0.018033,           0.0086936,           0.0019942,             0.97481,             0.98279,             0.99041,             0.83482,            0.015476,           0.0042955,           0.0041412,             0.00571,             0.00571,             0.00571
                  67,            0.017581,           0.0085664,           0.0017059,             0.98273,             0.97885,             0.98964,             0.82783,            0.015685,           0.0044719,           0.0042134,            0.005644,            0.005644,            0.005644
                  68,            0.017656,           0.0085254,           0.0016322,             0.97826,             0.98041,             0.99223,             0.83194,            0.015028,           0.0043528,           0.0014046,            0.005578,            0.005578,            0.005578
                  69,            0.017335,           0.0087108,           0.0015589,             0.97957,             0.98635,             0.99187,             0.83435,            0.015001,           0.0042784,           0.0031136,            0.005512,            0.005512,            0.005512
                  70,            0.018042,           0.0086627,           0.0014442,             0.97773,             0.97031,             0.98694,             0.81275,            0.017236,           0.0047831,            0.001432,            0.005446,            0.005446,            0.005446
                  71,            0.017879,            0.008577,           0.0017523,             0.98226,             0.97567,             0.99167,             0.83663,            0.015655,           0.0042948,           0.0040153,             0.00538,             0.00538,             0.00538
                  72,            0.017852,           0.0085564,           0.0015066,             0.99315,             0.98279,             0.99252,             0.84487,            0.015388,           0.0041979,           0.0034164,            0.005314,            0.005314,            0.005314
                  73,            0.017039,           0.0081105,           0.0013884,             0.98651,             0.98161,             0.99365,             0.84635,            0.014594,           0.0043208,           0.0044873,            0.005248,            0.005248,            0.005248
                  74,            0.016772,           0.0082161,           0.0011645,             0.98317,             0.98249,             0.99338,             0.84494,            0.015094,           0.0042726,           0.0034078,            0.005182,            0.005182,            0.005182
                  75,            0.017319,            0.008315,            0.002066,             0.98442,             0.97827,              0.9923,             0.83946,            0.014781,            0.004275,           0.0044225,            0.005116,            0.005116,            0.005116
                  76,            0.016763,           0.0084011,           0.0014234,             0.98568,             0.98074,              0.9922,             0.84375,             0.01491,            0.004183,            0.002534,             0.00505,             0.00505,             0.00505
                  77,            0.017023,           0.0083522,           0.0013876,             0.98672,             0.98273,             0.99352,             0.83585,            0.015008,           0.0043093,            0.003313,            0.004984,            0.004984,            0.004984
                  78,            0.016867,            0.008324,           0.0015083,             0.99241,             0.97449,             0.99383,             0.84389,            0.014471,           0.0042015,           0.0039654,            0.004918,            0.004918,            0.004918
                  79,            0.016334,           0.0083254,           0.0018363,             0.99072,             0.97806,              0.9938,             0.85128,            0.014325,           0.0041679,           0.0032729,            0.004852,            0.004852,            0.004852
                  80,            0.017277,           0.0081612,           0.0013185,             0.99002,             0.98419,             0.99425,             0.84939,            0.014398,           0.0041308,           0.0022951,            0.004786,            0.004786,            0.004786
                  81,            0.016326,           0.0082325,            0.001083,             0.97929,             0.98347,              0.9931,             0.84137,            0.014182,           0.0042494,           0.0034408,             0.00472,             0.00472,             0.00472
                  82,            0.016192,           0.0080143,             0.00112,              0.9918,             0.98176,             0.99292,             0.84624,            0.014775,           0.0042098,           0.0041702,            0.004654,            0.004654,            0.004654
                  83,            0.016378,           0.0082079,           0.0012633,             0.99205,              0.9858,             0.99115,             0.84163,            0.014497,           0.0042365,           0.0035458,            0.004588,            0.004588,            0.004588
                  84,             0.01594,           0.0081627,           0.0012307,             0.98938,             0.98176,             0.99142,              0.8396,            0.014862,           0.0043103,           0.0044897,            0.004522,            0.004522,            0.004522
                  85,            0.016538,           0.0081353,           0.0013103,             0.99101,             0.98086,             0.99105,             0.84973,            0.014417,           0.0041217,           0.0042164,            0.004456,            0.004456,            0.004456
                  86,            0.016409,           0.0079557,          0.00090092,             0.99326,             0.98034,             0.99254,              0.8435,            0.014339,           0.0043003,           0.0041977,             0.00439,             0.00439,             0.00439
                  87,            0.015726,           0.0080219,           0.0011309,             0.98926,             0.97936,             0.99267,             0.84801,            0.014035,           0.0041547,           0.0034151,            0.004324,            0.004324,            0.004324
                  88,            0.016046,           0.0079702,           0.0015126,             0.98901,             0.98754,             0.99116,             0.84483,            0.014526,           0.0041018,           0.0039237,            0.004258,            0.004258,            0.004258
                  89,            0.016374,           0.0081053,            0.002008,             0.98586,             0.98456,             0.99321,              0.8445,            0.014704,           0.0041927,            0.003311,            0.004192,            0.004192,            0.004192
                  90,            0.016311,           0.0079714,           0.0015095,             0.99028,             0.97367,             0.99166,             0.84307,            0.014493,           0.0042464,           0.0035325,            0.004126,            0.004126,            0.004126
                  91,             0.01623,           0.0078025,           0.0012141,             0.99482,              0.9782,             0.99307,             0.85167,            0.014921,           0.0040833,           0.0036965,             0.00406,             0.00406,             0.00406
                  92,            0.016324,           0.0077755,           0.0011867,             0.98595,             0.98212,             0.99081,             0.84512,            0.014648,           0.0042129,           0.0036934,            0.003994,            0.003994,            0.003994
                  93,            0.014975,           0.0078014,          0.00098337,             0.99325,             0.98167,             0.99412,             0.84955,            0.014394,           0.0041578,           0.0029334,            0.003928,            0.003928,            0.003928
                  94,             0.01586,           0.0078774,           0.0014313,             0.99058,             0.98266,             0.99351,             0.85001,            0.014415,            0.004076,           0.0041485,            0.003862,            0.003862,            0.003862
                  95,            0.015405,           0.0078879,           0.0017653,             0.98339,             0.97929,             0.99309,             0.84853,            0.014696,           0.0040901,           0.0035316,            0.003796,            0.003796,            0.003796
                  96,            0.015506,           0.0076897,           0.0012078,             0.99439,             0.98069,             0.99312,             0.85608,            0.014802,           0.0040317,           0.0038749,             0.00373,             0.00373,             0.00373
                  97,            0.015599,           0.0077563,            0.001179,             0.98933,             0.98889,             0.99365,              0.8573,            0.014373,           0.0040281,           0.0035894,            0.003664,            0.003664,            0.003664
                  98,            0.015407,           0.0075612,           0.0010587,              0.9919,             0.98684,             0.99413,             0.85652,            0.014714,           0.0039793,            0.003362,            0.003598,            0.003598,            0.003598
                  99,            0.015209,           0.0076192,           0.0010445,             0.99049,             0.97749,              0.9935,             0.86061,            0.014054,           0.0040826,           0.0032223,            0.003532,            0.003532,            0.003532
                 100,            0.014857,           0.0075005,           0.0011309,             0.99194,             0.97722,             0.99363,             0.85529,            0.014193,           0.0041373,           0.0025657,            0.003466,            0.003466,            0.003466
                 101,            0.014669,           0.0074294,           0.0010456,             0.97873,               0.986,             0.99325,             0.86053,            0.013759,            0.004059,           0.0030025,              0.0034,              0.0034,              0.0034
                 102,            0.014969,           0.0074224,           0.0011049,             0.99022,             0.98334,             0.99323,             0.85531,             0.01389,           0.0040518,           0.0042742,            0.003334,            0.003334,            0.003334
                 103,            0.014913,           0.0073911,           0.0011518,             0.99377,             0.98684,             0.99381,             0.85854,            0.014401,           0.0041081,           0.0038433,            0.003268,            0.003268,            0.003268
                 104,            0.014969,           0.0074965,          0.00091818,             0.99179,             0.98382,              0.9937,             0.85611,            0.014205,           0.0040397,           0.0035578,            0.003202,            0.003202,            0.003202
                 105,             0.01485,           0.0074876,            0.000875,             0.99315,             0.98532,             0.99362,             0.85839,            0.014234,           0.0040474,           0.0040716,            0.003136,            0.003136,            0.003136
                 106,            0.014434,            0.007501,           0.0010805,              0.9879,             0.98525,             0.99324,             0.85674,            0.014269,           0.0041467,           0.0042721,             0.00307,             0.00307,             0.00307
                 107,            0.014478,           0.0072392,          0.00083213,             0.98879,             0.98206,             0.99303,             0.85717,            0.014511,           0.0041463,           0.0035995,            0.003004,            0.003004,            0.003004
                 108,            0.014742,           0.0073134,          0.00099665,             0.99057,             0.98279,             0.99354,             0.85437,            0.014692,           0.0041919,           0.0029513,            0.002938,            0.002938,            0.002938
                 109,            0.014141,            0.007346,          0.00066062,             0.99406,             0.98336,             0.99452,             0.85377,            0.014057,           0.0041535,           0.0032066,            0.002872,            0.002872,            0.002872
                 110,             0.01457,           0.0074058,          0.00070751,             0.98611,              0.9846,             0.99379,             0.85488,            0.013771,           0.0039955,           0.0038234,            0.002806,            0.002806,            0.002806
                 111,            0.014122,           0.0074189,           0.0010178,             0.98711,             0.98727,             0.99419,              0.8619,            0.013612,           0.0040238,           0.0027354,             0.00274,             0.00274,             0.00274
                 112,            0.014545,           0.0074154,           0.0011679,             0.98975,             0.98056,             0.99402,             0.85644,            0.013829,           0.0041146,           0.0030125,            0.002674,            0.002674,            0.002674
                 113,            0.014279,           0.0072823,           0.0010374,              0.9896,             0.98431,             0.99414,             0.85895,             0.01365,           0.0040066,            0.003184,            0.002608,            0.002608,            0.002608
                 114,            0.013857,           0.0071727,          0.00083794,             0.99487,             0.97669,              0.9941,             0.86265,            0.013638,           0.0039788,           0.0023206,            0.002542,            0.002542,            0.002542
                 115,            0.014495,           0.0071242,          0.00097602,             0.99129,             0.98271,             0.99397,             0.85818,            0.014115,           0.0041099,           0.0031351,            0.002476,            0.002476,            0.002476
                 116,            0.014088,           0.0070656,          0.00072625,             0.99282,             0.98479,             0.99378,              0.8575,            0.014043,           0.0040469,           0.0045521,             0.00241,             0.00241,             0.00241
                 117,            0.014079,            0.007005,          0.00078544,             0.98778,               0.983,              0.9941,             0.86239,            0.014097,           0.0040542,           0.0028508,            0.002344,            0.002344,            0.002344
                 118,            0.014055,           0.0072858,          0.00080253,             0.99027,             0.98503,             0.99411,             0.86007,            0.014191,           0.0040684,           0.0025952,            0.002278,            0.002278,            0.002278
                 119,            0.013955,            0.007194,          0.00079634,             0.98595,             0.98736,             0.99434,             0.86512,            0.014083,           0.0040515,           0.0029401,            0.002212,            0.002212,            0.002212
                 120,            0.013975,           0.0070508,          0.00078105,             0.99107,             0.98786,             0.99401,             0.86267,            0.013857,           0.0041315,           0.0040388,            0.002146,            0.002146,            0.002146
                 121,             0.01373,           0.0070273,          0.00082168,             0.99177,             0.98581,             0.99379,             0.86299,            0.013742,           0.0039744,           0.0048739,             0.00208,             0.00208,             0.00208
                 122,            0.013333,           0.0069906,          0.00067179,             0.99491,             0.98561,              0.9936,             0.86355,            0.013926,           0.0040777,           0.0060549,            0.002014,            0.002014,            0.002014
                 123,            0.013544,           0.0070985,          0.00064341,             0.98282,             0.98908,             0.99415,             0.86365,            0.013853,           0.0040516,           0.0046863,            0.001948,            0.001948,            0.001948
                 124,              0.0137,           0.0070162,          0.00071706,             0.98746,             0.98639,             0.99448,             0.86427,            0.014049,           0.0039431,           0.0038575,            0.001882,            0.001882,            0.001882
                 125,             0.01301,           0.0070336,          0.00069268,             0.98966,             0.98798,             0.99415,             0.86823,            0.013968,           0.0039598,           0.0043791,            0.001816,            0.001816,            0.001816
                 126,            0.013039,            0.006989,          0.00070561,             0.99085,              0.9897,             0.99451,             0.87046,             0.01399,           0.0039901,           0.0037915,             0.00175,             0.00175,             0.00175
                 127,            0.012813,           0.0068075,          0.00084084,             0.98999,             0.98482,             0.99425,             0.86536,             0.01414,           0.0040883,           0.0041712,            0.001684,            0.001684,            0.001684
                 128,            0.012826,           0.0067072,          0.00056904,             0.99281,             0.98666,             0.99445,             0.86999,            0.013842,            0.003974,           0.0037995,            0.001618,            0.001618,            0.001618
                 129,            0.013344,           0.0068792,          0.00081023,             0.99586,              0.9857,             0.99465,             0.87205,            0.013864,           0.0039983,           0.0032685,            0.001552,            0.001552,            0.001552
                 130,            0.013099,           0.0067679,          0.00055012,             0.99486,              0.9883,             0.99458,             0.87308,            0.013924,           0.0040126,           0.0040429,            0.001486,            0.001486,            0.001486
                 131,             0.01335,            0.006757,          0.00064931,             0.99495,             0.98727,             0.99419,             0.86852,            0.014322,           0.0039952,           0.0054293,             0.00142,             0.00142,             0.00142
                 132,            0.012865,           0.0066814,          0.00058865,             0.99533,             0.98279,             0.99451,             0.87057,             0.01406,           0.0040539,           0.0044168,            0.001354,            0.001354,            0.001354
                 133,            0.012428,           0.0066459,          0.00071265,             0.99156,             0.98661,             0.99453,             0.86871,            0.014009,           0.0040308,           0.0039401,            0.001288,            0.001288,            0.001288
                 134,            0.012566,           0.0065793,          0.00060264,             0.99242,             0.98749,             0.99458,             0.87218,            0.013606,           0.0040415,           0.0038574,            0.001222,            0.001222,            0.001222
                 135,            0.012419,           0.0067317,          0.00073578,             0.99009,              0.9892,             0.99418,             0.87181,            0.013475,           0.0040125,           0.0035922,            0.001156,            0.001156,            0.001156
                 136,            0.012551,           0.0067427,          0.00065817,             0.98839,             0.98889,             0.99441,             0.87126,            0.013453,           0.0039876,           0.0049675,             0.00109,             0.00109,             0.00109
                 137,            0.012567,           0.0066272,          0.00080964,             0.99225,             0.98755,             0.99417,             0.86814,            0.013864,           0.0040527,           0.0050745,            0.001024,            0.001024,            0.001024
