               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047657,            0.056174,           0.0078976,             0.73291,             0.58825,             0.66614,             0.30924,            0.047622,            0.048942,            0.010357,            0.008812,            0.008812,            0.008812
                  38,            0.047009,            0.061325,           0.0079639,             0.73661,             0.59821,             0.66079,             0.33401,            0.045941,             0.04858,           0.0088304,            0.008779,            0.008779,            0.008779
                  39,            0.047915,            0.057505,           0.0073341,             0.70477,             0.61761,             0.66003,             0.29681,            0.050126,            0.048225,           0.0085169,            0.008746,            0.008746,            0.008746
                  40,            0.047875,            0.058982,           0.0069051,             0.72751,              0.6017,             0.66551,             0.33314,            0.046926,            0.049364,           0.0096438,            0.008713,            0.008713,            0.008713
                  41,            0.044236,            0.059186,           0.0071815,             0.74618,             0.62293,             0.67687,             0.34831,            0.046246,            0.048845,            0.009237,             0.00868,             0.00868,             0.00868
                  42,            0.046048,            0.056423,           0.0068794,             0.74738,             0.62532,             0.69397,             0.34276,            0.046636,            0.048949,           0.0086237,            0.008647,            0.008647,            0.008647
                  43,            0.047284,             0.05545,           0.0065572,              0.7722,             0.63979,             0.69715,             0.34132,            0.046964,            0.048741,           0.0097422,            0.008614,            0.008614,            0.008614
                  44,            0.045087,              0.0543,           0.0063418,             0.70547,             0.64581,             0.67613,             0.33079,            0.047442,            0.048564,            0.010407,            0.008581,            0.008581,            0.008581
                  45,            0.045038,            0.055748,           0.0065213,             0.77704,             0.58362,             0.64767,             0.32423,            0.046926,             0.05007,            0.010565,            0.008548,            0.008548,            0.008548
                  46,            0.044014,            0.054989,           0.0062226,             0.77717,             0.61467,             0.66762,             0.34535,            0.046041,            0.050008,           0.0081252,            0.008515,            0.008515,            0.008515
                  47,            0.044531,            0.055689,           0.0061245,             0.72813,             0.60456,             0.68016,             0.33048,            0.045912,            0.049431,           0.0092104,            0.008482,            0.008482,            0.008482
                  48,            0.044562,            0.057246,           0.0057003,              0.7314,             0.61727,             0.67145,             0.33853,             0.04635,            0.049465,            0.011796,            0.008449,            0.008449,            0.008449
                  49,            0.043197,            0.053777,           0.0060113,             0.73038,             0.57908,             0.64484,             0.34197,            0.046462,            0.051755,           0.0096041,            0.008416,            0.008416,            0.008416
                  50,            0.042938,            0.053679,           0.0059478,             0.74018,             0.62114,             0.66352,             0.33941,            0.045782,             0.05134,           0.0095069,            0.008383,            0.008383,            0.008383
                  51,             0.04438,             0.05761,           0.0058468,             0.72294,              0.6447,             0.69203,              0.3556,            0.045988,            0.049212,           0.0083982,             0.00835,             0.00835,             0.00835
                  52,            0.045967,            0.053531,           0.0054848,             0.76982,             0.65493,             0.70785,             0.35317,            0.046582,            0.048801,           0.0077351,            0.008317,            0.008317,            0.008317
                  53,            0.044783,            0.053442,           0.0054095,             0.75013,             0.64754,             0.69455,             0.35607,            0.046413,            0.048395,           0.0082531,            0.008284,            0.008284,            0.008284
                  54,            0.044616,             0.05265,           0.0052495,             0.81422,             0.63946,             0.69938,             0.35909,            0.045016,            0.048642,           0.0079531,            0.008251,            0.008251,            0.008251
                  55,             0.04401,            0.056816,           0.0047219,             0.73728,             0.65596,             0.71042,             0.37086,            0.045419,            0.048481,           0.0079347,            0.008218,            0.008218,            0.008218
                  56,              0.0436,            0.056098,           0.0051542,              0.7102,             0.68149,             0.70707,             0.34292,            0.045881,            0.048361,           0.0076558,            0.008185,            0.008185,            0.008185
                  57,            0.045232,            0.055406,           0.0052224,             0.71403,             0.64849,             0.68473,             0.34158,            0.045096,            0.048974,           0.0085159,            0.008152,            0.008152,            0.008152
                  58,            0.043536,            0.058235,           0.0052572,             0.75679,             0.61473,             0.69043,             0.35161,            0.045333,            0.050515,           0.0080008,            0.008119,            0.008119,            0.008119
                  59,            0.044536,             0.05921,           0.0049656,             0.70549,             0.62851,              0.6581,             0.32815,            0.046241,            0.051151,           0.0089608,            0.008086,            0.008086,            0.008086
                  60,            0.043741,            0.056194,           0.0047956,             0.74839,             0.63287,             0.70404,              0.3709,            0.045454,             0.04953,           0.0077753,            0.008053,            0.008053,            0.008053
                  61,            0.044428,            0.059449,           0.0049423,             0.78146,             0.62854,             0.69391,             0.35725,            0.045449,            0.049569,           0.0078808,             0.00802,             0.00802,             0.00802
                  62,            0.041145,            0.050934,           0.0048506,             0.73459,             0.68332,             0.72351,             0.35101,            0.046955,            0.049896,           0.0071382,            0.007987,            0.007987,            0.007987
                  63,            0.043924,            0.055395,           0.0042689,             0.69302,             0.63423,             0.67945,             0.35073,            0.045727,            0.049738,           0.0079924,            0.007954,            0.007954,            0.007954
                  64,            0.043002,            0.057228,           0.0042667,             0.74072,             0.65032,             0.70118,             0.35304,            0.047181,            0.048428,           0.0077817,            0.007921,            0.007921,            0.007921
                  65,            0.041109,             0.05412,           0.0045195,             0.75216,             0.64431,             0.70042,             0.36631,            0.045166,            0.048286,           0.0078403,            0.007888,            0.007888,            0.007888
                  66,            0.040591,             0.05141,           0.0044865,             0.79805,             0.62677,             0.68702,             0.35475,            0.045614,             0.04877,           0.0075531,            0.007855,            0.007855,            0.007855
                  67,            0.042891,            0.052491,           0.0036119,             0.79605,             0.65635,             0.72566,             0.36464,            0.045581,            0.047671,           0.0075967,            0.007822,            0.007822,            0.007822
                  68,            0.042232,            0.054708,           0.0040022,             0.79683,             0.62363,             0.70592,             0.38019,            0.044655,            0.049265,           0.0076296,            0.007789,            0.007789,            0.007789
                  69,            0.041693,            0.049781,           0.0040895,             0.80957,              0.6384,             0.72691,             0.36961,            0.044924,            0.048318,           0.0067824,            0.007756,            0.007756,            0.007756
                  70,            0.041265,            0.056261,           0.0037424,             0.82193,             0.63078,             0.69935,             0.36373,            0.044373,            0.049742,           0.0080161,            0.007723,            0.007723,            0.007723
                  71,            0.042519,            0.054476,           0.0040313,             0.75693,             0.67412,             0.72127,             0.36758,            0.045387,            0.048707,           0.0080491,             0.00769,             0.00769,             0.00769
                  72,            0.041255,            0.053278,           0.0041227,             0.75781,              0.6478,             0.70482,              0.3657,            0.045834,            0.049742,           0.0073849,            0.007657,            0.007657,            0.007657
                  73,            0.041685,            0.055894,             0.00363,             0.77705,             0.63934,              0.6956,             0.36776,            0.044437,            0.048594,           0.0072933,            0.007624,            0.007624,            0.007624
                  74,            0.040251,            0.053724,           0.0039343,              0.7968,             0.65223,             0.71278,             0.38359,            0.045136,            0.048559,           0.0064166,            0.007591,            0.007591,            0.007591
                  75,            0.043004,            0.051689,           0.0035851,             0.79145,             0.64384,             0.69219,             0.35242,            0.046036,            0.050474,           0.0071098,            0.007558,            0.007558,            0.007558
                  76,            0.041182,            0.051907,           0.0039919,             0.77514,             0.66004,             0.71807,             0.38047,            0.044268,            0.048711,           0.0069718,            0.007525,            0.007525,            0.007525
                  77,            0.042702,            0.054211,           0.0041927,             0.80522,             0.63724,             0.71518,             0.36707,            0.045597,            0.049318,           0.0075879,            0.007492,            0.007492,            0.007492
                  78,            0.039449,            0.053259,           0.0041174,             0.80701,             0.67645,             0.73496,               0.387,            0.043764,            0.048053,           0.0069087,            0.007459,            0.007459,            0.007459
                  79,            0.039418,            0.049527,           0.0035404,             0.76627,             0.68984,             0.72411,             0.38615,            0.044043,            0.048794,           0.0074439,            0.007426,            0.007426,            0.007426
                  80,            0.040398,            0.052733,             0.00347,             0.78033,             0.65768,             0.70641,             0.35448,            0.046798,            0.049531,           0.0067985,            0.007393,            0.007393,            0.007393
                  81,            0.041913,            0.055166,           0.0034655,             0.74365,              0.6126,              0.6799,              0.3513,            0.044814,            0.050526,           0.0078213,             0.00736,             0.00736,             0.00736
                  82,            0.041428,            0.055582,           0.0036914,             0.76323,             0.64244,             0.68581,             0.35893,            0.045242,            0.049227,           0.0079951,            0.007327,            0.007327,            0.007327
                  83,            0.040642,             0.05159,           0.0040347,             0.78608,             0.63492,             0.71301,             0.37551,            0.043677,            0.049912,           0.0079179,            0.007294,            0.007294,            0.007294
                  84,            0.040631,            0.054296,           0.0032875,             0.74611,             0.65757,             0.69716,             0.37271,            0.046116,            0.049397,           0.0071585,            0.007261,            0.007261,            0.007261
                  85,            0.040512,            0.051771,           0.0034008,             0.78412,              0.6238,             0.69606,             0.37525,            0.044339,            0.048729,           0.0079668,            0.007228,            0.007228,            0.007228
                  86,            0.040734,            0.052999,           0.0035547,             0.76518,             0.66671,             0.70983,             0.37091,            0.045722,            0.047401,           0.0072089,            0.007195,            0.007195,            0.007195
                  87,            0.038884,            0.052549,            0.003545,             0.78832,              0.6858,             0.73444,             0.38673,            0.043834,            0.048026,           0.0073867,            0.007162,            0.007162,            0.007162
                  88,            0.041053,             0.05073,           0.0038374,             0.77627,             0.67227,             0.73052,             0.38566,            0.044537,            0.047813,           0.0074926,            0.007129,            0.007129,            0.007129
                  89,            0.040582,            0.053867,           0.0030599,             0.78884,             0.65652,             0.73616,             0.39436,            0.043287,             0.04872,           0.0074063,            0.007096,            0.007096,            0.007096
                  90,            0.039143,            0.049001,           0.0034155,             0.76021,             0.69586,              0.7351,             0.37406,            0.045003,            0.048661,           0.0066946,            0.007063,            0.007063,            0.007063
                  91,            0.040134,            0.050518,            0.003172,             0.74243,             0.64711,             0.71423,             0.37953,            0.044617,            0.048408,           0.0070973,             0.00703,             0.00703,             0.00703
